campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Amistosos 1919 ,"16 de fevereiro de 1919, 16:00",Seleção Paulista,2,4,Corinthians,"Avenida Água Branca, São Paulo, SP."
Amistosos 1919 ,"09 de fevereiro de 1919, 16:00",Ponte Preta,0,5,Corinthians,"Hipódromo Campineiro, Campinas, SP."
Paulista 1918 ,"19 de janeiro de 1919, 16:00",Corinthians,4,1,São Bento da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"12 de janeiro de 1919, 16:00",Corinthians,5,3,Associação Atlética das Palmeiras,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"05 de janeiro de 1919, 16:00",Corinthians,7,0,Internacional da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"29 de dezembro de 1918, 16:00",Corinthians,8,0,Ypiranga,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"15 de dezembro de 1918, 16:00",São Bento da Capital,0,4,Corinthians,"Estádio da Floresta, São Paulo, SP."
Amistosos 1918 ,"01 de dezembro de 1918, 16:00",Flamengo,1,2,Corinthians,"Rua Paysandu, Rio de Janeiro, RJ."
Amistosos 1918 ,"29 de setembro de 1918, 16:00",Sorocabano,1,8,Corinthians,"Campo dos Castelões, Sorocaba, SP."
Paulista 1918 ,"22 de setembro de 1918, 16:00",Corinthians,5,0,Minas Gerais-SP,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"15 de setembro de 1918, 16:00",Corinthians,5,0,Mackenzie,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"08 de setembro de 1918, 16:00",Paulistano,1,2,Corinthians,"Estádio Jardim América, São Paulo, SP."
Paulista 1918 ,"18 de agosto de 1918, 16:00",Santos,4,2,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 1918 ,"11 de agosto de 1918, 16:00",Corinthians,4,0,Internacional da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"14 de julho de 1918, 16:00",Associação Atlética das Palmeiras,3,2,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1918 ,"30 de junho de 1918, 16:00",Corinthians,7,0,Minas Gerais-SP,"Ponte Grande, São Paulo, SP."
Amistosos 1918 ,"23 de junho de 1918, 16:00",Paulista,0,2,Corinthians,"Estádio da Vila Leme, Jundiaí, SP."
Paulista 1918 ,"13 de maio de 1918, 16:00",Palmeiras,3,3,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1918 ,"28 de abril de 1918, 16:00",Corinthians,2,1,Mackenzie,"Ponte Grande, São Paulo, SP."
Paulista 1918 ,"21 de abril de 1918, 16:00",Ypiranga,0,3,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1918 ,"07 de abril de 1918, 16:00",Corinthians,2,2,Santos,"Ponte Grande, São Paulo, SP."
Amistosos 1918 ,"24 de março de 1918, 16:00",Corinthians,2,4,Palmeiras,"Ponte Grande, São Paulo, SP."
Amistosos 1918 ,"17 de março de 1918, 16:00",Corinthians,3,3,Palmeiras,"Ponte Grande, São Paulo, SP."
Paulista 1917 ,"18 de novembro de 1917, 16:00",Associação Atlética das Palmeiras,1,2,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1917 ,"11 de novembro de 1917, 16:00",Corinthians,2,3,Santos,"Palestra Itália, São Paulo, SP."
Paulista 1917 ,"23 de setembro de 1917, 16:00",São Bento da Capital,2,4,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1917 ,"09 de setembro de 1917, 16:00",Corinthians,2,2,Internacional da Capital,"Estádio da Floresta, São Paulo, SP."
Paulista 1917 ,"02 de setembro de 1917, 16:00",Mackenzie,1,4,Corinthians,"Estádio da Floresta, São Paulo, SP."
Amistosos 1917 ,"26 de agosto de 1917, 16:00",Santos,0,3,Corinthians,"Vila Belmiro, Santos, SP."
Amistosos 1917 ,"19 de agosto de 1917, 16:00",Paulistano,3,1,Corinthians,"Palestra Itália, São Paulo, SP."
Paulista 1917 ,"05 de agosto de 1917, 16:00",Corinthians,1,3,Palmeiras,"Estádio da Floresta, São Paulo, SP."
Paulista 1917 ,"22 de julho de 1917, 16:00",Corinthians,4,0,Ypiranga,"Estádio da Floresta, São Paulo, SP."
Paulista 1917 ,"29 de junho de 1917, 16:00",Paulistano,2,1,Corinthians,"Palestra Itália, São Paulo, SP."
