campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Libertadores 2013 ,"27 de fevereiro de 2013, 22:00",Corinthians,2,0,Millonarios,"Pacaembu, São Paulo, SP."
Paulista 2013 ,"24 de fevereiro de 2013, 16:00",Red Bull Bragantino,2,2,Corinthians,"Nabi Abi, Bragança Paulista, SP."
Libertadores 2013 ,"20 de fevereiro de 2013, 22:00",San José,1,1,Corinthians,"Jesús Bermúdez, Oruro, Bolívia."
Paulista 2013 ,"17 de fevereiro de 2013, 16:00",Corinthians,2,2,Palmeiras,"Pacaembu, São Paulo, SP."
Paulista 2013 ,"09 de fevereiro de 2013, 16:20",Corinthians,2,2,São Caetano,"Pacaembu, São Paulo, SP."
Paulista 2013 ,"03 de fevereiro de 2013, 17:00",Corinthians,5,0,Oeste,"Pacaembu, São Paulo, SP."
Paulista 2013 ,"30 de janeiro de 2013, 22:00",Corinthians,2,1,Mogi Mirim,"Pacaembu, São Paulo, SP."
Paulista 2013 ,"27 de janeiro de 2013, 17:00",Mirassol,0,1,Corinthians,"Campos Maia, Mirassol, SP."
Paulista 2013 ,"20 de janeiro de 2013, 17:00",Paulista,1,1,Corinthians,"Jaime Cintra, Jundiaí, SP."
Mundial de Clubes 2012 ,"16 de dezembro de 2012, 08:30",Corinthians,1,0,Chelsea,"Yokohama, Yokohama, Japão."
Mundial de Clubes 2012 ,"12 de dezembro de 2012, 08:30",Corinthians,1,0,Al Ahly,"Toyota, Toyota, Japão."
Brasileirão 2012 ,"02 de dezembro de 2012, 17:00",São Paulo,3,1,Corinthians,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"24 de novembro de 2012, 19:30",Corinthians,1,1,Santos,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"18 de novembro de 2012, 19:30",Internacional,0,2,Corinthians,"Beira Rio, Porto Alegre, RS."
Brasileirão 2012 ,"10 de novembro de 2012, 21:00",Corinthians,5,1,Coritiba,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"04 de novembro de 2012, 17:00",Atlético-GO,0,2,Corinthians,"Serejão, Taguatinga, DF."
Brasileirão 2012 ,"27 de outubro de 2012, 16:20",Corinthians,1,0,Vasco da Gama,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"20 de outubro de 2012, 18:30",Corinthians,1,1,Bahia,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"13 de outubro de 2012, 21:00",Portuguesa,1,1,Corinthians,"Canindé, São Paulo, SP."
Brasileirão 2012 ,"10 de outubro de 2012, 22:00",Corinthians,3,2,Flamengo,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"06 de outubro de 2012, 16:20",Náutico,2,1,Corinthians,"Aflitos, Recife, PE."
Brasileirão 2012 ,"30 de setembro de 2012, 16:00",Corinthians,3,0,Sport,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"23 de setembro de 2012, 16:00",Botafogo,2,2,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2012 ,"16 de setembro de 2012, 16:00",Palmeiras,0,2,Corinthians,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"12 de setembro de 2012, 19:30",Corinthians,1,1,Ponte Preta,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"08 de setembro de 2012, 21:00",Corinthians,3,1,Grêmio,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"02 de setembro de 2012, 16:00",Corinthians,1,0,Atlético-MG,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"29 de agosto de 2012, 22:00",Fluminense,1,1,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2012 ,"26 de agosto de 2012, 16:00",Corinthians,1,2,São Paulo,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"19 de agosto de 2012, 16:00",Santos,3,2,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2012 ,"16 de agosto de 2012, 21:00",Corinthians,1,0,Internacional,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"12 de agosto de 2012, 16:00",Coritiba,1,2,Corinthians,"Couto Pereira, Curitiba, PR."
Brasileirão 2012 ,"08 de agosto de 2012, 20:30",Corinthians,1,1,Atlético-GO,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"25 de julho de 2012, 21:50",Corinthians,2,0,Cruzeiro,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"21 de julho de 2012, 21:00",Corinthians,1,1,Portuguesa,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"18 de julho de 2012, 21:50",Flamengo,0,3,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2012 ,"14 de julho de 2012, 18:30",Corinthians,2,1,Náutico,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"11 de julho de 2012, 19:30",Corinthians,1,3,Botafogo,"Pacaembu, São Paulo, SP."
Brasileirão 2012 ,"08 de julho de 2012, 18:30",Sport,1,1,Corinthians,"Ilha do Retiro, Recife, PE."
Libertadores 2012 ,"04 de julho de 2012, 21:50",Corinthians,2,0,Boca Juniors,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"27 de junho de 2012, 21:50",Boca Juniors,1,1,Corinthians,"La Bombonera, Buenos Aires, Argentina."
Brasileirão 2012 ,"24 de junho de 2012, 16:00",Corinthians,2,1,Palmeiras,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"20 de junho de 2012, 21:50",Corinthians,1,1,Santos,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"13 de junho de 2012, 21:50",Santos,0,1,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2012 ,"07 de junho de 2012, 21:00",Corinthians,1,1,Figueirense,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"23 de maio de 2012, 21:50",Corinthians,1,0,Vasco da Gama,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"09 de maio de 2012, 22:00",Corinthians,3,0,Emelec,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"22 de abril de 2012, 16:00",Corinthians,2,3,Ponte Preta,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"18 de abril de 2012, 21:50",Corinthians,6,0,Deportivo Táchira,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"15 de abril de 2012, 16:00",Ponte Preta,1,2,Corinthians,"Moisés Lucarelli, Campinas, SP."
Libertadores 2012 ,"11 de abril de 2012, 21:50",Nacional-PY,1,3,Corinthians,"El Bastión del Este, Ciudad del Este, Paraguai."
Paulista 2012 ,"08 de abril de 2012, 16:00",Corinthians,1,0,Paulista,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"01 de abril de 2012, 16:00",Oeste,0,3,Corinthians,"Prudentão, Presidente Prudente, SP."
Paulista 2012 ,"28 de março de 2012, 22:00",Corinthians,1,0,XV de Piracicaba,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"25 de março de 2012, 16:00",Corinthians,2,1,Palmeiras,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"21 de março de 2012, 21:50",Corinthians,1,0,Cruz Azul,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"18 de março de 2012, 16:00",Comercial de Ribeirão Preto,3,3,Corinthians,"Santa Cruz, Ribeirão Preto, SP."
Paulista 2012 ,"10 de março de 2012, 18:30",Corinthians,1,1,Guarani,"Pacaembu, São Paulo, SP."
Libertadores 2012 ,"07 de março de 2012, 21:50",Corinthians,2,0,Nacional-PY,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"29 de fevereiro de 2012, 22:00",Corinthians,2,1,Catanduvense,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"25 de fevereiro de 2012, 18:30",Corinthians,1,0,Botafogo-SP,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"22 de fevereiro de 2012, 22:00",Portuguesa,0,2,Corinthians,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"18 de fevereiro de 2012, 16:20",São Caetano,0,1,Corinthians,"Anacleto, São Caetano do Sul, SP."
Libertadores 2012 ,"15 de fevereiro de 2012, 21:50",Deportivo Táchira,1,1,Corinthians,"Pueblo Nuevo, San Cristóbal, Venezuela."
Paulista 2012 ,"12 de fevereiro de 2012, 17:00",Corinthians,1,0,São Paulo,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"08 de fevereiro de 2012, 22:00",Mogi Mirim,1,1,Corinthians,"Estádio Papa João, Mogi Mirim, SP."
Paulista 2012 ,"05 de fevereiro de 2012, 17:00",Corinthians,1,1,Red Bull Bragantino,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"01 de fevereiro de 2012, 22:00",Ituano,0,1,Corinthians,"Novelli Junior, Itu, SP."
Paulista 2012 ,"29 de janeiro de 2012, 17:00",Corinthians,1,0,Linense,"Pacaembu, São Paulo, SP."
Paulista 2012 ,"25 de janeiro de 2012, 22:00",Guaratinguetá,0,2,Corinthians,"Ninho da Garça, Guaratinguetá, SP."
Paulista 2012 ,"21 de janeiro de 2012, 17:00",Corinthians,2,1,Mirassol,"Pacaembu, São Paulo, SP."
Amistosos 2012 ,"15 de janeiro de 2012, 16:00",Corinthians,2,2,Flamengo,"Estádio do Café, Londrina, PR."
Brasileirão 2011 ,"27 de novembro de 2011, 17:00",Figueirense,0,1,Corinthians,"Orlando Scarpelli, Florianópolis, SC."
Brasileirão 2011 ,"20 de novembro de 2011, 17:00",Corinthians,2,1,Atlético-MG,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"16 de novembro de 2011, 21:50",Ceará,0,1,Corinthians,"PV, Fortaleza, CE."
Brasileirão 2011 ,"13 de novembro de 2011, 17:00",Corinthians,2,1,Athletico-PR,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"06 de novembro de 2011, 17:00",América-MG,2,1,Corinthians,"Parque do Sabiá, Uberlândia, MG."
Brasileirão 2011 ,"30 de outubro de 2011, 16:00",Corinthians,2,1,Avaí,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"23 de outubro de 2011, 16:00",Internacional,1,1,Corinthians,"Beira Rio, Porto Alegre, RS."
Brasileirão 2011 ,"16 de outubro de 2011, 16:00",Cruzeiro,0,1,Corinthians,"Arena do Jacaré, Sete Lagoas, MG."
Brasileirão 2011 ,"09 de outubro de 2011, 18:00",Corinthians,3,0,Atlético-GO,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"02 de outubro de 2011, 16:00",Vasco da Gama,2,2,Corinthians,"São Januário, Rio de Janeiro, RJ."
Brasileirão 2011 ,"25 de setembro de 2011, 16:00",Corinthians,1,0,Bahia,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"18 de setembro de 2011, 16:00",Corinthians,1,3,Santos,"Pacaembu, São Paulo, SP."
Amistosos 2011 ,"15 de setembro de 2011, 19:00",Grêmio Osasco,0,2,Corinthians,"José Liberatti, Osasco, SP."
Brasileirão 2011 ,"08 de setembro de 2011, 21:50",Corinthians,2,1,Flamengo,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"31 de agosto de 2011, 18:00",Corinthians,3,2,Grêmio,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"28 de agosto de 2011, 16:00",Palmeiras,2,1,Corinthians,"Prudentão, Presidente Prudente, SP."
Brasileirão 2011 ,"17 de agosto de 2011, 21:50",Atlético-MG,2,3,Corinthians,"Arena do Jacaré, Sete Lagoas, MG."
Brasileirão 2011 ,"14 de agosto de 2011, 16:00",Corinthians,2,2,Ceará,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"07 de agosto de 2011, 16:00",Athletico-PR,1,1,Corinthians,"Arena da Baixada, Curitiba, PR."
Brasileirão 2011 ,"03 de agosto de 2011, 19:30",Corinthians,2,1,América-MG,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"31 de julho de 2011, 16:00",Avaí,3,2,Corinthians,"Ressacada, Florianópolis, SC."
Brasileirão 2011 ,"20 de julho de 2011, 21:50",Botafogo,0,2,Corinthians,"São Januário, Rio de Janeiro, RJ."
Brasileirão 2011 ,"14 de julho de 2011, 21:00",Corinthians,1,0,Internacional,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"10 de julho de 2011, 16:00",Atlético-GO,0,1,Corinthians,"Serra Dourada, Goiânia, GO."
Brasileirão 2011 ,"06 de julho de 2011, 21:50",Corinthians,2,1,Vasco da Gama,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"29 de junho de 2011, 21:50",Bahia,0,1,Corinthians,"Pituaçu, Salvador, BA."
Brasileirão 2011 ,"26 de junho de 2011, 16:00",Corinthians,5,0,São Paulo,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"12 de junho de 2011, 16:00",Corinthians,2,0,Fluminense,"Pacaembu, São Paulo, SP."
Brasileirão 2011 ,"05 de junho de 2011, 16:00",Flamengo,1,1,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2011 ,"29 de maio de 2011, 16:00",Corinthians,2,1,Coritiba,"Fonte Luminosa, Araraquara, SP."
Brasileirão 2011 ,"22 de maio de 2011, 16:00",Grêmio,1,2,Corinthians,"Olímpico, Porto Alegre, RS."
Paulista 2011 ,"15 de maio de 2011, 16:00",Santos,2,1,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 2011 ,"01 de maio de 2011, 16:00",Palmeiras,1,1,Corinthians,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"23 de abril de 2011, 18:30",Corinthians,2,1,Oeste,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"17 de abril de 2011, 16:00",Santo André,0,2,Corinthians,"Bruno José, Santo André, SP."
Paulista 2011 ,"10 de abril de 2011, 16:00",Corinthians,1,2,São Caetano,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"27 de março de 2011, 16:00",São Paulo,2,1,Corinthians,"Arena Barueri, Barueri, SP."
Paulista 2011 ,"23 de março de 2011, 21:50",Corinthians,3,0,Oeste,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"20 de março de 2011, 16:00",Corinthians,1,0,Guaratinguetá,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"13 de março de 2011, 16:00",Mirassol,2,3,Corinthians,"Campos Maia, Mirassol, SP."
Paulista 2011 ,"05 de março de 2011, 16:00",Linense,0,2,Corinthians,"Gilbertão, Lins, SP."
Paulista 2011 ,"26 de fevereiro de 2011, 18:30",Corinthians,4,0,Grêmio Prudente,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"20 de fevereiro de 2011, 16:00",Corinthians,3,1,Santos,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"17 de fevereiro de 2011, 21:50",Corinthians,2,0,Mogi Mirim,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"09 de fevereiro de 2011, 22:00",Corinthians,4,0,Ituano,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"06 de fevereiro de 2011, 17:00",Palmeiras,0,1,Corinthians,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"30 de janeiro de 2011, 19:30",São Bernardo FC,2,2,Corinthians,"Primeirão, São Bernardo do Campo, SP."
Paulista 2011 ,"23 de janeiro de 2011, 17:00",Corinthians,1,1,Noroeste,"Pacaembu, São Paulo, SP."
Paulista 2011 ,"19 de janeiro de 2011, 21:50",Red Bull Bragantino,1,1,Corinthians,"Nabi Abi, Bragança Paulista, SP."
Paulista 2011 ,"16 de janeiro de 2011, 17:00",Corinthians,2,0,Portuguesa,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"05 de dezembro de 2010, 17:00",Goiás,1,1,Corinthians,"Serra Dourada, Goiânia, GO."
Brasileirão 2010 ,"28 de novembro de 2010, 17:00",Corinthians,2,0,Vasco da Gama,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"21 de novembro de 2010, 17:00",Vitória,1,1,Corinthians,"Barradão, Salvador, BA."
Brasileirão 2010 ,"13 de novembro de 2010, 19:30",Corinthians,1,0,Cruzeiro,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"07 de novembro de 2010, 17:00",São Paulo,0,2,Corinthians,"Morumbi, São Paulo, SP."
Brasileirão 2010 ,"03 de novembro de 2010, 21:50",Corinthians,4,0,Avaí,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"27 de outubro de 2010, 22:00",Flamengo,1,1,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2010 ,"24 de outubro de 2010, 16:00",Corinthians,1,0,Palmeiras,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"10 de outubro de 2010, 16:00",Corinthians,3,4,Atlético-GO,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"06 de outubro de 2010, 21:50",Atlético-MG,2,1,Corinthians,"Arena do Jacaré, Sete Lagoas, MG."
Brasileirão 2010 ,"02 de outubro de 2010, 16:00",Corinthians,2,2,Ceará,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"29 de setembro de 2010, 21:50",Corinthians,1,1,Botafogo,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"26 de setembro de 2010, 16:00",Internacional,3,2,Corinthians,"Beira Rio, Porto Alegre, RS."
Brasileirão 2010 ,"22 de setembro de 2010, 21:50",Santos,2,3,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2010 ,"18 de setembro de 2010, 18:30",Corinthians,3,0,Grêmio Prudente,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"15 de setembro de 2010, 21:50",Fluminense,1,2,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2010 ,"08 de setembro de 2010, 21:50",Athletico-PR,1,1,Corinthians,"Arena da Baixada, Curitiba, PR."
Brasileirão 2010 ,"04 de setembro de 2010, 18:30",Corinthians,5,1,Goiás,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"29 de agosto de 2010, 16:00",Corinthians,2,1,Vitória,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"22 de agosto de 2010, 18:30",Corinthians,3,0,São Paulo,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"15 de agosto de 2010, 16:00",Avaí,3,2,Corinthians,"Ressacada, Florianópolis, SC."
Brasileirão 2010 ,"08 de agosto de 2010, 16:00",Corinthians,1,0,Flamengo,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"01 de agosto de 2010, 16:00",Palmeiras,1,1,Corinthians,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"25 de julho de 2010, 18:30",Corinthians,3,1,Guarani,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"21 de julho de 2010, 21:50",Atlético-GO,3,1,Corinthians,"Serra Dourada, Goiânia, GO."
Brasileirão 2010 ,"18 de julho de 2010, 16:00",Corinthians,1,0,Atlético-MG,"Pacaembu, São Paulo, SP."
Amistosos 2010 ,"07 de julho de 2010, 20:00",Comercial-MS,0,6,Corinthians,"Morenão, Campo Grande, MS."
Cidade de Londrina 2010 ,"25 de junho de 2010, 20:30",Iraty,0,1,Corinthians,"Estádio do Café, Londrina, PR."
Brasileirão 2010 ,"06 de junho de 2010, 16:00",Botafogo,2,2,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2010 ,"03 de junho de 2010, 21:00",Corinthians,2,0,Internacional,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"30 de maio de 2010, 16:00",Corinthians,4,2,Santos,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"26 de maio de 2010, 21:50",Grêmio Prudente,2,2,Corinthians,"Prudentão, Presidente Prudente, SP."
Brasileirão 2010 ,"23 de maio de 2010, 16:00",Corinthians,1,0,Fluminense,"Pacaembu, São Paulo, SP."
Brasileirão 2010 ,"16 de maio de 2010, 16:00",Grêmio,1,2,Corinthians,"Olímpico, Porto Alegre, RS."
Brasileirão 2010 ,"09 de maio de 2010, 16:00",Corinthians,2,1,Athletico-PR,"Pacaembu, São Paulo, SP."
Libertadores 2010 ,"05 de maio de 2010, 21:50",Corinthians,2,1,Flamengo,"Pacaembu, São Paulo, SP."
Amistosos 2010 ,"25 de abril de 2010, 18:30",Botafogo,3,1,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Libertadores 2010 ,"22 de abril de 2010, 21:50",Corinthians,1,0,Independiente Medellín,"Pacaembu, São Paulo, SP."
Libertadores 2010 ,"14 de abril de 2010, 21:50",Racing,0,2,Corinthians,"Juan Perón, Avellaneda, Argentina."
Paulista 2010 ,"07 de abril de 2010, 21:50",Corinthians,5,1,Rio Claro,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"04 de abril de 2010, 16:00",Ituano,0,2,Corinthians,"Novelli Junior, Itu, SP."
Libertadores 2010 ,"01 de abril de 2010, 19:15",Corinthians,2,1,Cerro Porteño,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"28 de março de 2010, 16:00",Corinthians,4,3,São Paulo,"Pacaembu, São Paulo, SP."
Libertadores 2010 ,"17 de março de 2010, 21:50",Cerro Porteño,0,1,Corinthians,"La Nueva Olla, Assunção, Paraguai."
Paulista 2010 ,"14 de março de 2010, 19:30",Corinthians,2,1,Santo André,"Arena Barueri, Barueri, SP."
Libertadores 2010 ,"10 de março de 2010, 21:50",Independiente Medellín,1,1,Corinthians,"Atanasio, Medellín, Colômbia."
Paulista 2010 ,"07 de março de 2010, 17:00",São Caetano,0,1,Corinthians,"Arena Barueri, Barueri, SP."
Paulista 2010 ,"04 de março de 2010, 17:00",Corinthians,1,1,Botafogo-SP,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"28 de fevereiro de 2010, 17:00",Santos,2,1,Corinthians,"Vila Belmiro, Santos, SP."
Libertadores 2010 ,"24 de fevereiro de 2010, 21:50",Corinthians,2,1,Racing,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"17 de fevereiro de 2010, 21:50",Mogi Mirim,0,3,Corinthians,"Vail Chaves, Mogi Mirim, SP."
Paulista 2010 ,"13 de fevereiro de 2010, 16:00",Portuguesa,1,1,Corinthians,"Canindé, São Paulo, SP."
Paulista 2010 ,"06 de fevereiro de 2010, 17:00",Corinthians,4,0,Sertãozinho,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"03 de fevereiro de 2010, 21:50",Ponte Preta,2,1,Corinthians,"Moisés Lucarelli, Campinas, SP."
Paulista 2010 ,"31 de janeiro de 2010, 17:00",Corinthians,1,0,Palmeiras,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"27 de janeiro de 2010, 21:50",Corinthians,1,1,Mirassol,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"24 de janeiro de 2010, 17:00",Oeste,1,2,Corinthians,"Fonte Luminosa, Araraquara, SP."
Paulista 2010 ,"20 de janeiro de 2010, 21:50",Corinthians,2,1,Red Bull Bragantino,"Pacaembu, São Paulo, SP."
Paulista 2010 ,"17 de janeiro de 2010, 17:00",Monte Azul,1,1,Corinthians,"Ninho do Azulão, Monte Azul Paulista, SP."
Amistosos 2010 ,"13 de janeiro de 2010, 16:00",Corinthians,3,0,Huracán,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"05 de dezembro de 2009, 19:30",Atlético-MG,0,3,Corinthians,"Mineirão, Belo Horizonte, MG."
Brasileirão 2009 ,"21 de novembro de 2009, 17:00",Corinthians,2,3,Náutico,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"15 de novembro de 2009, 17:00",Avaí,3,1,Corinthians,"Ressacada, Florianópolis, SC."
Brasileirão 2009 ,"08 de novembro de 2009, 16:00",Corinthians,2,0,Santo André,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"01 de novembro de 2009, 16:00",Palmeiras,2,2,Corinthians,"Prudentão, Presidente Prudente, SP."
Brasileirão 2009 ,"28 de outubro de 2009, 21:50",Vitória,0,1,Corinthians,"Barradão, Salvador, BA."
Brasileirão 2009 ,"10 de outubro de 2009, 16:10",Corinthians,2,1,Grêmio,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"07 de outubro de 2009, 21:50",Fluminense,1,1,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2009 ,"03 de outubro de 2009, 18:30",Corinthians,1,3,Athletico-PR,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"27 de setembro de 2009, 16:00",São Paulo,1,1,Corinthians,"Morumbi, São Paulo, SP."
Brasileirão 2009 ,"20 de setembro de 2009, 18:30",Corinthians,1,4,Goiás,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"16 de setembro de 2009, 21:50",Coritiba,1,1,Corinthians,"Couto Pereira, Curitiba, PR."
Brasileirão 2009 ,"02 de setembro de 2009, 21:50",Corinthians,2,1,Santos,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"26 de agosto de 2009, 21:50",Grêmio Prudente,2,2,Corinthians,"Arena Barueri, Barueri, SP."
Brasileirão 2009 ,"23 de agosto de 2009, 16:00",Corinthians,3,3,Botafogo,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"19 de agosto de 2009, 21:50",Internacional,1,2,Corinthians,"Beira Rio, Porto Alegre, RS."
Brasileirão 2009 ,"16 de agosto de 2009, 16:00",Corinthians,2,0,Atlético-MG,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"29 de julho de 2009, 21:50",Santo André,1,1,Corinthians,"Teixeirão, São José do Rio Preto, SP."
Brasileirão 2009 ,"23 de julho de 2009, 21:00",Corinthians,2,1,Vitória,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"19 de julho de 2009, 16:00",Cruzeiro,1,2,Corinthians,"Mineirão, Belo Horizonte, MG."
Brasileirão 2009 ,"16 de julho de 2009, 21:00",Corinthians,4,3,Sport,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"08 de julho de 2009, 21:50",Corinthians,4,2,Fluminense,"Pacaembu, São Paulo, SP."
Copa do Brasil 2009 ,"01 de julho de 2009, 21:50",Internacional,2,2,Corinthians,"Beira Rio, Porto Alegre, RS."
Brasileirão 2009 ,"21 de junho de 2009, 18:30",Corinthians,3,1,São Paulo,"Pacaembu, São Paulo, SP."
Copa do Brasil 2009 ,"17 de junho de 2009, 21:50",Corinthians,2,0,Internacional,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"06 de junho de 2009, 21:00",Corinthians,2,0,Coritiba,"Pacaembu, São Paulo, SP."
Brasileirão 2009 ,"31 de maio de 2009, 16:00",Santos,3,1,Corinthians,"Vila Belmiro, Santos, SP."
Copa do Brasil 2009 ,"27 de maio de 2009, 21:50",Vasco da Gama,1,1,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2009 ,"23 de maio de 2009, 18:30",Corinthians,2,1,Grêmio Prudente,"Pacaembu, São Paulo, SP."
Copa do Brasil 2009 ,"20 de maio de 2009, 21:50",Fluminense,2,2,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Copa do Brasil 2009 ,"13 de maio de 2009, 21:50",Corinthians,1,0,Fluminense,"Pacaembu, São Paulo, SP."
Copa do Brasil 2009 ,"06 de maio de 2009, 21:50",Corinthians,2,0,Athletico-PR,"Pacaembu, São Paulo, SP."
Paulista 2009 ,"03 de maio de 2009, 16:00",Corinthians,1,1,Santos,"Pacaembu, São Paulo, SP."
Copa do Brasil 2009 ,"29 de abril de 2009, 21:50",Athletico-PR,3,2,Corinthians,"Arena da Baixada, Curitiba, PR."
Paulista 2009 ,"26 de abril de 2009, 16:00",Santos,1,3,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 2009 ,"19 de abril de 2009, 16:00",São Paulo,0,2,Corinthians,"Morumbi, São Paulo, SP."
Copa do Brasil 2009 ,"15 de abril de 2009, 21:50",Misto,0,2,Corinthians,"Morenão, Campo Grande, MS."
